,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.0,Thu Mar 08 21:28:00 +0000 2018,1.0,0.0,0.0,0
1,-0.2732,Thu Mar 08 21:00:04 +0000 2018,0.845,0.103,0.052,1
2,0.4019,Thu Mar 08 20:33:04 +0000 2018,0.856,0.0,0.144,2
3,0.0,Thu Mar 08 20:03:04 +0000 2018,1.0,0.0,0.0,3
4,0.0,Thu Mar 08 18:00:06 +0000 2018,1.0,0.0,0.0,4
5,-0.1027,Thu Mar 08 17:30:11 +0000 2018,0.664,0.177,0.159,5
6,0.0,Thu Mar 08 17:00:09 +0000 2018,1.0,0.0,0.0,6
7,0.5719,Thu Mar 08 16:30:05 +0000 2018,0.764,0.0,0.236,7
8,0.5803,Thu Mar 08 16:05:42 +0000 2018,0.819,0.0,0.181,8
9,0.0,Thu Mar 08 15:30:09 +0000 2018,1.0,0.0,0.0,9
10,0.0,Thu Mar 08 15:09:13 +0000 2018,1.0,0.0,0.0,10
11,0.0,Thu Mar 08 15:00:05 +0000 2018,1.0,0.0,0.0,11
12,-0.4588,Thu Mar 08 14:30:02 +0000 2018,0.857,0.143,0.0,12
13,0.0,Thu Mar 08 13:30:05 +0000 2018,1.0,0.0,0.0,13
14,0.0,Thu Mar 08 13:09:22 +0000 2018,1.0,0.0,0.0,14
15,-0.5994,Thu Mar 08 13:02:03 +0000 2018,0.855,0.145,0.0,15
16,0.0,Thu Mar 08 13:00:08 +0000 2018,1.0,0.0,0.0,16
17,0.0,Thu Mar 08 12:34:42 +0000 2018,1.0,0.0,0.0,17
18,0.0,Thu Mar 08 12:30:04 +0000 2018,1.0,0.0,0.0,18
19,0.4753,Thu Mar 08 12:00:02 +0000 2018,0.795,0.0,0.205,19
20,0.5859,Thu Mar 08 11:46:51 +0000 2018,0.789,0.0,0.211,20
21,0.0,Thu Mar 08 11:00:05 +0000 2018,1.0,0.0,0.0,21
22,0.6996,Thu Mar 08 10:54:28 +0000 2018,0.721,0.0,0.279,22
23,0.0,Thu Mar 08 10:32:59 +0000 2018,1.0,0.0,0.0,23
24,0.5719,Thu Mar 08 09:57:10 +0000 2018,0.829,0.0,0.171,24
25,0.5859,Thu Mar 08 09:30:12 +0000 2018,0.743,0.0,0.257,25
26,0.0,Thu Mar 08 09:04:01 +0000 2018,1.0,0.0,0.0,26
27,0.4404,Thu Mar 08 08:30:00 +0000 2018,0.838,0.0,0.162,27
28,0.0,Thu Mar 08 08:00:05 +0000 2018,1.0,0.0,0.0,28
29,0.0,Thu Mar 08 07:30:06 +0000 2018,1.0,0.0,0.0,29
30,0.0,Wed Mar 07 19:12:02 +0000 2018,1.0,0.0,0.0,30
31,0.0,Wed Mar 07 18:23:04 +0000 2018,1.0,0.0,0.0,31
32,0.4987,Wed Mar 07 17:42:01 +0000 2018,0.736,0.0,0.264,32
33,0.0,Wed Mar 07 17:27:29 +0000 2018,1.0,0.0,0.0,33
34,0.0,Wed Mar 07 17:22:51 +0000 2018,1.0,0.0,0.0,34
35,0.8555,Wed Mar 07 17:22:23 +0000 2018,0.63,0.0,0.37,35
36,0.0,Wed Mar 07 17:16:45 +0000 2018,1.0,0.0,0.0,36
37,0.5562,Wed Mar 07 17:14:49 +0000 2018,0.817,0.0,0.183,37
38,0.0,Wed Mar 07 17:13:49 +0000 2018,1.0,0.0,0.0,38
39,0.0,Wed Mar 07 16:15:06 +0000 2018,1.0,0.0,0.0,39
40,0.0,Wed Mar 07 14:30:03 +0000 2018,1.0,0.0,0.0,40
41,0.1742,Wed Mar 07 13:24:05 +0000 2018,0.751,0.109,0.14,41
42,-0.6369,Wed Mar 07 12:30:04 +0000 2018,0.597,0.321,0.082,42
43,0.0,Wed Mar 07 11:42:44 +0000 2018,1.0,0.0,0.0,43
44,-0.2244,Wed Mar 07 11:07:18 +0000 2018,0.924,0.076,0.0,44
45,-0.4404,Wed Mar 07 10:46:56 +0000 2018,0.868,0.132,0.0,45
46,0.4927,Wed Mar 07 10:41:15 +0000 2018,0.775,0.0,0.225,46
47,0.4404,Wed Mar 07 09:58:38 +0000 2018,0.681,0.108,0.211,47
48,0.0,Wed Mar 07 09:00:07 +0000 2018,1.0,0.0,0.0,48
49,0.4926,Wed Mar 07 08:46:22 +0000 2018,0.825,0.0,0.175,49
50,0.4215,Wed Mar 07 08:46:14 +0000 2018,0.891,0.0,0.109,50
51,-0.6808,Wed Mar 07 08:45:50 +0000 2018,0.789,0.211,0.0,51
52,0.4215,Wed Mar 07 08:44:59 +0000 2018,0.877,0.0,0.123,52
53,-0.8591,Wed Mar 07 08:30:07 +0000 2018,0.627,0.373,0.0,53
54,0.5994,Wed Mar 07 08:00:04 +0000 2018,0.769,0.0,0.231,54
55,0.0,Tue Mar 06 19:30:06 +0000 2018,1.0,0.0,0.0,55
56,-0.4215,Tue Mar 06 18:30:07 +0000 2018,0.781,0.219,0.0,56
57,0.4939,Tue Mar 06 18:03:04 +0000 2018,0.873,0.0,0.127,57
58,-0.1027,Tue Mar 06 17:30:07 +0000 2018,0.65,0.185,0.165,58
59,0.0,Tue Mar 06 17:25:44 +0000 2018,1.0,0.0,0.0,59
60,0.3182,Tue Mar 06 17:02:04 +0000 2018,0.881,0.0,0.119,60
61,-0.0644,Tue Mar 06 15:30:10 +0000 2018,0.853,0.079,0.068,61
62,0.6997,Tue Mar 06 14:44:33 +0000 2018,0.692,0.0,0.308,62
63,0.8439,Tue Mar 06 14:30:05 +0000 2018,0.664,0.0,0.336,63
64,0.7269,Tue Mar 06 13:48:06 +0000 2018,0.724,0.0,0.276,64
65,0.6246,Tue Mar 06 13:12:33 +0000 2018,0.605,0.102,0.293,65
66,0.0,Tue Mar 06 13:11:26 +0000 2018,1.0,0.0,0.0,66
67,0.4404,Tue Mar 06 13:10:12 +0000 2018,0.868,0.0,0.132,67
68,0.5994,Tue Mar 06 12:30:05 +0000 2018,0.813,0.0,0.187,68
69,0.7901,Tue Mar 06 10:18:16 +0000 2018,0.72,0.0,0.28,69
70,0.4215,Tue Mar 06 09:00:05 +0000 2018,0.872,0.0,0.128,70
71,-0.2732,Tue Mar 06 08:30:10 +0000 2018,0.837,0.106,0.057,71
72,0.5023,Tue Mar 06 08:03:02 +0000 2018,0.772,0.0,0.228,72
73,0.0,Mon Mar 05 19:30:07 +0000 2018,1.0,0.0,0.0,73
74,-0.8555,Mon Mar 05 18:38:04 +0000 2018,0.592,0.408,0.0,74
75,0.6124,Mon Mar 05 17:23:22 +0000 2018,0.737,0.0,0.263,75
76,0.4472,Mon Mar 05 17:15:34 +0000 2018,0.789,0.0,0.211,76
77,0.1531,Mon Mar 05 17:00:31 +0000 2018,0.818,0.077,0.105,77
78,0.0,Mon Mar 05 14:48:43 +0000 2018,1.0,0.0,0.0,78
79,-0.1779,Mon Mar 05 14:43:13 +0000 2018,0.855,0.145,0.0,79
80,0.0,Mon Mar 05 14:42:36 +0000 2018,1.0,0.0,0.0,80
81,-0.6621,Mon Mar 05 14:11:28 +0000 2018,0.76,0.24,0.0,81
82,0.0,Mon Mar 05 14:07:00 +0000 2018,1.0,0.0,0.0,82
83,0.0,Mon Mar 05 13:17:03 +0000 2018,1.0,0.0,0.0,83
84,0.0,Mon Mar 05 13:07:19 +0000 2018,1.0,0.0,0.0,84
85,0.6369,Mon Mar 05 12:34:04 +0000 2018,0.811,0.0,0.189,85
86,0.0,Mon Mar 05 12:33:12 +0000 2018,1.0,0.0,0.0,86
87,0.4199,Mon Mar 05 11:54:02 +0000 2018,0.843,0.0,0.157,87
88,0.7845,Mon Mar 05 11:37:55 +0000 2018,0.67,0.0,0.33,88
89,0.7717,Mon Mar 05 11:00:11 +0000 2018,0.749,0.0,0.251,89
90,0.8384,Mon Mar 05 10:42:57 +0000 2018,0.655,0.0,0.345,90
91,0.8126,Mon Mar 05 10:42:50 +0000 2018,0.73,0.0,0.27,91
92,0.0,Mon Mar 05 10:09:20 +0000 2018,1.0,0.0,0.0,92
93,0.5267,Mon Mar 05 09:58:23 +0000 2018,0.773,0.0,0.227,93
94,0.7506,Mon Mar 05 09:30:07 +0000 2018,0.714,0.0,0.286,94
95,0.0,Mon Mar 05 09:00:05 +0000 2018,1.0,0.0,0.0,95
96,0.0,Mon Mar 05 08:30:04 +0000 2018,1.0,0.0,0.0,96
97,0.0,Mon Mar 05 08:00:04 +0000 2018,1.0,0.0,0.0,97
98,0.4019,Sun Mar 04 20:11:35 +0000 2018,0.726,0.089,0.184,98
99,0.8468,Sun Mar 04 19:00:05 +0000 2018,0.614,0.0,0.386,99
