,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.8625,Thu Mar 08 18:00:49 +0000 2018,0.664,0.0,0.336,0
1,0.4926,Thu Mar 08 17:03:04 +0000 2018,0.868,0.0,0.132,1
2,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.619,0.23,0.15,2
3,0.0,Wed Mar 07 17:06:02 +0000 2018,1.0,0.0,0.0,3
4,0.6705,Tue Mar 06 18:10:59 +0000 2018,0.756,0.0,0.244,4
5,0.3818,Mon Mar 05 22:16:43 +0000 2018,0.833,0.0,0.167,5
6,0.4404,Sun Mar 04 08:05:26 +0000 2018,0.884,0.0,0.116,6
7,0.0,Sat Mar 03 20:55:20 +0000 2018,1.0,0.0,0.0,7
8,0.7096,Fri Mar 02 22:30:01 +0000 2018,0.753,0.0,0.247,8
9,0.7096,Fri Mar 02 20:30:01 +0000 2018,0.718,0.0,0.282,9
10,0.4939,Fri Mar 02 18:45:00 +0000 2018,0.849,0.0,0.151,10
11,-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.79,0.21,0.0,11
12,0.4547,Thu Mar 01 18:12:57 +0000 2018,0.749,0.092,0.159,12
13,0.8591,Thu Mar 01 18:11:50 +0000 2018,0.462,0.0,0.538,13
14,0.4885,Thu Mar 01 18:10:50 +0000 2018,0.615,0.151,0.234,14
15,0.5994,Thu Mar 01 14:36:21 +0000 2018,0.822,0.0,0.178,15
16,0.7717,Thu Mar 01 14:29:20 +0000 2018,0.675,0.0,0.325,16
17,0.6908,Thu Mar 01 14:15:29 +0000 2018,0.725,0.0,0.275,17
18,0.0,Thu Mar 01 13:50:11 +0000 2018,1.0,0.0,0.0,18
19,0.0,Thu Mar 01 01:04:52 +0000 2018,1.0,0.0,0.0,19
20,0.0,Wed Feb 28 19:56:58 +0000 2018,1.0,0.0,0.0,20
21,0.4404,Wed Feb 28 19:08:30 +0000 2018,0.884,0.0,0.116,21
22,0.5562,Tue Feb 27 03:23:47 +0000 2018,0.848,0.0,0.152,22
