,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,-0.1779,Fri Mar 09 05:46:05 +0000 2018,0.69,0.172,0.138,0
1,0.0,Fri Mar 09 05:34:23 +0000 2018,1.0,0.0,0.0,1
2,-0.5799,Fri Mar 09 05:31:03 +0000 2018,0.8,0.2,0.0,2
3,-0.1779,Fri Mar 09 05:27:50 +0000 2018,0.69,0.172,0.138,3
4,-0.5994,Fri Mar 09 05:19:53 +0000 2018,0.698,0.302,0.0,4
5,-0.4767,Fri Mar 09 05:16:06 +0000 2018,0.814,0.186,0.0,5
6,0.7096,Fri Mar 09 05:01:05 +0000 2018,0.594,0.091,0.315,6
7,0.2732,Fri Mar 09 04:49:21 +0000 2018,0.861,0.0,0.139,7
8,0.0,Fri Mar 09 04:46:04 +0000 2018,1.0,0.0,0.0,8
9,-0.3804,Fri Mar 09 04:31:54 +0000 2018,0.848,0.152,0.0,9
10,0.5994,Fri Mar 09 04:31:29 +0000 2018,0.811,0.0,0.189,10
11,0.0,Fri Mar 09 04:31:05 +0000 2018,1.0,0.0,0.0,11
12,0.0,Fri Mar 09 04:18:26 +0000 2018,1.0,0.0,0.0,12
13,0.3818,Fri Mar 09 04:16:06 +0000 2018,0.86,0.0,0.14,13
14,0.0,Fri Mar 09 04:01:04 +0000 2018,1.0,0.0,0.0,14
15,0.0,Fri Mar 09 03:46:04 +0000 2018,1.0,0.0,0.0,15
16,0.0,Fri Mar 09 03:44:14 +0000 2018,1.0,0.0,0.0,16
17,0.0,Fri Mar 09 03:36:57 +0000 2018,1.0,0.0,0.0,17
18,0.4939,Fri Mar 09 03:32:56 +0000 2018,0.862,0.0,0.138,18
19,0.6234,Fri Mar 09 03:31:08 +0000 2018,0.759,0.0,0.241,19
20,0.6486,Fri Mar 09 03:28:17 +0000 2018,0.791,0.0,0.209,20
21,0.2023,Fri Mar 09 03:16:04 +0000 2018,0.909,0.0,0.091,21
22,0.0,Fri Mar 09 03:08:05 +0000 2018,1.0,0.0,0.0,22
23,0.3612,Fri Mar 09 03:03:54 +0000 2018,0.889,0.0,0.111,23
24,0.0,Fri Mar 09 03:02:07 +0000 2018,1.0,0.0,0.0,24
25,0.0,Fri Mar 09 02:55:08 +0000 2018,1.0,0.0,0.0,25
26,0.0,Fri Mar 09 02:55:05 +0000 2018,1.0,0.0,0.0,26
27,-0.1779,Fri Mar 09 02:46:04 +0000 2018,0.914,0.086,0.0,27
28,0.0,Fri Mar 09 02:38:07 +0000 2018,1.0,0.0,0.0,28
29,0.4019,Fri Mar 09 02:37:12 +0000 2018,0.881,0.0,0.119,29
30,0.0,Fri Mar 09 02:33:02 +0000 2018,1.0,0.0,0.0,30
31,-0.8074,Fri Mar 09 02:28:04 +0000 2018,0.711,0.289,0.0,31
32,-0.2263,Fri Mar 09 02:19:04 +0000 2018,0.872,0.128,0.0,32
33,-0.34,Fri Mar 09 02:10:06 +0000 2018,0.882,0.118,0.0,33
34,0.25,Fri Mar 09 02:01:04 +0000 2018,0.779,0.09,0.131,34
35,0.0,Fri Mar 09 01:54:05 +0000 2018,1.0,0.0,0.0,35
