,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,-0.4767,Fri Mar 09 05:45:00 +0000 2018,0.807,0.193,0.0,0
1,0.0,Fri Mar 09 05:35:00 +0000 2018,1.0,0.0,0.0,1
2,0.7269,Fri Mar 09 05:15:00 +0000 2018,0.681,0.0,0.319,2
3,-0.6908,Fri Mar 09 05:00:00 +0000 2018,0.551,0.449,0.0,3
4,0.5267,Fri Mar 09 04:46:00 +0000 2018,0.805,0.0,0.195,4
5,0.7579,Fri Mar 09 04:38:29 +0000 2018,0.772,0.0,0.228,5
6,-0.3612,Fri Mar 09 04:21:17 +0000 2018,0.711,0.204,0.085,6
7,0.0,Fri Mar 09 04:14:07 +0000 2018,1.0,0.0,0.0,7
8,0.3008,Fri Mar 09 03:59:52 +0000 2018,0.844,0.0,0.156,8
9,0.0,Fri Mar 09 03:55:58 +0000 2018,1.0,0.0,0.0,9
10,-0.1027,Fri Mar 09 03:41:35 +0000 2018,0.702,0.167,0.132,10
11,-0.34,Fri Mar 09 03:34:53 +0000 2018,0.806,0.194,0.0,11
12,0.6249,Fri Mar 09 03:30:56 +0000 2018,0.717,0.068,0.215,12
13,-0.25,Fri Mar 09 03:26:10 +0000 2018,0.909,0.091,0.0,13
14,-0.7269,Fri Mar 09 03:23:42 +0000 2018,0.621,0.379,0.0,14
15,-0.1603,Fri Mar 09 03:22:25 +0000 2018,0.925,0.075,0.0,15
16,0.0,Fri Mar 09 03:17:09 +0000 2018,1.0,0.0,0.0,16
17,0.1027,Fri Mar 09 03:11:44 +0000 2018,0.789,0.096,0.114,17
18,0.5103,Fri Mar 09 03:00:47 +0000 2018,0.823,0.0,0.177,18
19,-0.2023,Fri Mar 09 02:49:40 +0000 2018,0.859,0.141,0.0,19
20,0.0,Fri Mar 09 02:40:00 +0000 2018,1.0,0.0,0.0,20
21,0.0,Fri Mar 09 02:32:43 +0000 2018,1.0,0.0,0.0,21
22,0.0,Fri Mar 09 02:24:41 +0000 2018,1.0,0.0,0.0,22
23,-0.6037,Fri Mar 09 02:20:50 +0000 2018,0.803,0.197,0.0,23
24,0.3182,Fri Mar 09 02:18:16 +0000 2018,0.784,0.0,0.216,24
25,-0.3612,Fri Mar 09 02:12:02 +0000 2018,0.889,0.111,0.0,25
26,0.0,Fri Mar 09 02:07:13 +0000 2018,1.0,0.0,0.0,26
27,0.0,Fri Mar 09 02:03:01 +0000 2018,1.0,0.0,0.0,27
28,0.2924,Fri Mar 09 01:57:19 +0000 2018,0.821,0.0,0.179,28
29,0.0,Fri Mar 09 01:54:14 +0000 2018,1.0,0.0,0.0,29
30,0.0,Fri Mar 09 01:48:40 +0000 2018,1.0,0.0,0.0,30
31,0.0,Fri Mar 09 01:48:29 +0000 2018,1.0,0.0,0.0,31
32,0.0,Fri Mar 09 01:38:59 +0000 2018,1.0,0.0,0.0,32
33,0.0,Fri Mar 09 01:35:49 +0000 2018,1.0,0.0,0.0,33
34,0.6486,Fri Mar 09 01:24:54 +0000 2018,0.751,0.0,0.249,34
35,0.0,Fri Mar 09 01:17:02 +0000 2018,1.0,0.0,0.0,35
36,0.0,Fri Mar 09 01:11:25 +0000 2018,1.0,0.0,0.0,36
37,-0.4767,Fri Mar 09 00:56:48 +0000 2018,0.871,0.129,0.0,37
38,0.743,Fri Mar 09 00:51:56 +0000 2018,0.73,0.0,0.27,38
39,0.0,Fri Mar 09 00:51:09 +0000 2018,1.0,0.0,0.0,39
40,0.0,Fri Mar 09 00:46:13 +0000 2018,1.0,0.0,0.0,40
41,0.2732,Fri Mar 09 00:36:52 +0000 2018,0.896,0.0,0.104,41
42,0.34,Fri Mar 09 00:27:20 +0000 2018,0.888,0.0,0.112,42
43,0.6908,Fri Mar 09 00:17:54 +0000 2018,0.737,0.0,0.263,43
44,0.6249,Fri Mar 09 00:16:53 +0000 2018,0.769,0.0,0.231,44
45,0.34,Fri Mar 09 00:16:18 +0000 2018,0.882,0.0,0.118,45
46,0.34,Fri Mar 09 00:15:09 +0000 2018,0.893,0.0,0.107,46
47,0.0516,Fri Mar 09 00:13:24 +0000 2018,0.787,0.102,0.111,47
48,0.34,Fri Mar 09 00:13:16 +0000 2018,0.854,0.0,0.146,48
49,0.0,Fri Mar 09 00:06:16 +0000 2018,1.0,0.0,0.0,49
50,0.3612,Fri Mar 09 00:05:15 +0000 2018,0.865,0.0,0.135,50
51,-0.5267,Thu Mar 08 23:51:42 +0000 2018,0.746,0.254,0.0,51
52,-0.7845,Thu Mar 08 23:44:40 +0000 2018,0.67,0.33,0.0,52
53,0.0,Thu Mar 08 23:31:35 +0000 2018,1.0,0.0,0.0,53
54,-0.4215,Thu Mar 08 23:30:33 +0000 2018,0.811,0.189,0.0,54
55,0.0,Thu Mar 08 23:24:24 +0000 2018,1.0,0.0,0.0,55
56,0.34,Thu Mar 08 23:20:24 +0000 2018,0.882,0.0,0.118,56
57,-0.3182,Thu Mar 08 23:10:59 +0000 2018,0.596,0.245,0.159,57
58,0.0,Thu Mar 08 23:08:31 +0000 2018,1.0,0.0,0.0,58
59,0.0,Thu Mar 08 23:03:36 +0000 2018,1.0,0.0,0.0,59
60,0.0,Thu Mar 08 23:02:44 +0000 2018,1.0,0.0,0.0,60
61,0.0,Thu Mar 08 22:48:25 +0000 2018,1.0,0.0,0.0,61
62,0.0,Thu Mar 08 22:38:19 +0000 2018,1.0,0.0,0.0,62
63,0.0,Thu Mar 08 22:35:11 +0000 2018,1.0,0.0,0.0,63
64,-0.0516,Thu Mar 08 22:25:00 +0000 2018,0.732,0.138,0.13,64
65,0.0,Thu Mar 08 22:18:33 +0000 2018,1.0,0.0,0.0,65
66,0.6808,Thu Mar 08 22:15:50 +0000 2018,0.616,0.0,0.384,66
67,0.3742,Thu Mar 08 22:07:45 +0000 2018,0.686,0.112,0.202,67
