,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.5994,Fri Mar 09 05:41:05 +0000 2018,0.776,0.0,0.224,0
1,0.128,Fri Mar 09 05:17:02 +0000 2018,0.738,0.103,0.159,1
2,0.0,Fri Mar 09 05:15:19 +0000 2018,1.0,0.0,0.0,2
3,0.0,Fri Mar 09 05:02:11 +0000 2018,1.0,0.0,0.0,3
4,0.0,Fri Mar 09 04:54:41 +0000 2018,1.0,0.0,0.0,4
5,0.0,Fri Mar 09 04:49:04 +0000 2018,1.0,0.0,0.0,5
6,-0.2732,Fri Mar 09 04:41:03 +0000 2018,0.814,0.118,0.068,6
7,0.4528,Fri Mar 09 04:35:04 +0000 2018,0.78,0.072,0.148,7
8,0.6369,Fri Mar 09 04:21:04 +0000 2018,0.704,0.0,0.296,8
9,-0.6486,Fri Mar 09 04:06:06 +0000 2018,0.623,0.272,0.105,9
10,-0.5267,Fri Mar 09 03:56:02 +0000 2018,0.709,0.232,0.059,10
11,0.3612,Fri Mar 09 03:46:05 +0000 2018,0.645,0.12,0.235,11
12,0.0,Fri Mar 09 03:32:04 +0000 2018,1.0,0.0,0.0,12
13,0.1531,Fri Mar 09 03:17:05 +0000 2018,0.814,0.081,0.105,13
14,-0.3818,Fri Mar 09 03:02:07 +0000 2018,0.867,0.133,0.0,14
15,-0.4767,Fri Mar 09 02:47:04 +0000 2018,0.743,0.186,0.071,15
16,0.0,Fri Mar 09 02:32:06 +0000 2018,1.0,0.0,0.0,16
17,0.34,Fri Mar 09 02:21:00 +0000 2018,0.882,0.0,0.118,17
18,0.2492,Fri Mar 09 02:11:07 +0000 2018,0.913,0.0,0.087,18
19,0.2732,Fri Mar 09 02:02:07 +0000 2018,0.896,0.0,0.104,19
20,0.25,Fri Mar 09 01:47:05 +0000 2018,0.889,0.0,0.111,20
21,0.3034,Fri Mar 09 01:34:36 +0000 2018,0.908,0.0,0.092,21
22,0.0,Fri Mar 09 01:32:04 +0000 2018,1.0,0.0,0.0,22
23,-0.2263,Fri Mar 09 01:17:08 +0000 2018,0.917,0.083,0.0,23
24,0.0,Fri Mar 09 01:02:02 +0000 2018,1.0,0.0,0.0,24
25,0.3818,Fri Mar 09 00:54:32 +0000 2018,0.898,0.0,0.102,25
26,0.0,Fri Mar 09 00:47:07 +0000 2018,1.0,0.0,0.0,26
