,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.0,Thu Mar 08 23:16:06 +0000 2018,1.0,0.0,0.0,0
1,0.0,Thu Mar 08 23:11:44 +0000 2018,1.0,0.0,0.0,1
2,-0.4767,Thu Mar 08 23:01:00 +0000 2018,0.829,0.171,0.0,2
3,-0.2732,Thu Mar 08 22:59:50 +0000 2018,0.877,0.123,0.0,3
4,0.1027,Thu Mar 08 22:53:58 +0000 2018,0.762,0.11,0.129,4
5,0.0,Thu Mar 08 22:44:14 +0000 2018,1.0,0.0,0.0,5
6,0.0772,Thu Mar 08 22:41:40 +0000 2018,0.936,0.0,0.064,6
7,0.7096,Thu Mar 08 22:33:03 +0000 2018,0.594,0.091,0.315,7
8,0.5719,Thu Mar 08 22:33:00 +0000 2018,0.748,0.0,0.252,8
9,0.0,Thu Mar 08 22:24:48 +0000 2018,1.0,0.0,0.0,9
10,0.25,Thu Mar 08 22:11:01 +0000 2018,0.909,0.0,0.091,10
11,0.0,Thu Mar 08 22:08:10 +0000 2018,1.0,0.0,0.0,11
12,0.2732,Thu Mar 08 22:04:57 +0000 2018,0.896,0.0,0.104,12
13,-0.5267,Thu Mar 08 22:01:20 +0000 2018,0.815,0.185,0.0,13
14,-0.5859,Thu Mar 08 22:00:47 +0000 2018,0.806,0.194,0.0,14
15,0.0,Thu Mar 08 21:55:24 +0000 2018,1.0,0.0,0.0,15
16,-0.3818,Thu Mar 08 21:53:33 +0000 2018,0.833,0.167,0.0,16
17,0.1779,Thu Mar 08 21:51:50 +0000 2018,0.925,0.0,0.075,17
18,-0.0772,Thu Mar 08 21:50:32 +0000 2018,0.754,0.131,0.116,18
19,-0.296,Thu Mar 08 21:44:08 +0000 2018,0.885,0.115,0.0,19
20,0.0,Thu Mar 08 21:39:52 +0000 2018,1.0,0.0,0.0,20
21,-0.296,Thu Mar 08 21:29:00 +0000 2018,0.872,0.128,0.0,21
22,0.0,Thu Mar 08 21:28:27 +0000 2018,1.0,0.0,0.0,22
23,-0.3818,Thu Mar 08 21:25:02 +0000 2018,0.885,0.115,0.0,23
24,0.0,Thu Mar 08 21:22:09 +0000 2018,1.0,0.0,0.0,24
25,0.7073,Thu Mar 08 21:11:53 +0000 2018,0.787,0.0,0.213,25
26,0.0,Thu Mar 08 21:10:31 +0000 2018,1.0,0.0,0.0,26
27,0.0,Thu Mar 08 21:09:04 +0000 2018,1.0,0.0,0.0,27
28,0.0,Thu Mar 08 21:03:55 +0000 2018,1.0,0.0,0.0,28
29,-0.1531,Thu Mar 08 20:55:43 +0000 2018,0.909,0.091,0.0,29
30,0.34,Thu Mar 08 20:50:56 +0000 2018,0.876,0.0,0.124,30
31,-0.296,Thu Mar 08 20:38:12 +0000 2018,0.879,0.121,0.0,31
32,0.0,Thu Mar 08 20:25:13 +0000 2018,1.0,0.0,0.0,32
33,0.0,Thu Mar 08 20:20:38 +0000 2018,1.0,0.0,0.0,33
34,-0.1665,Thu Mar 08 20:03:33 +0000 2018,0.694,0.146,0.16,34
35,0.0,Thu Mar 08 20:01:36 +0000 2018,1.0,0.0,0.0,35
36,-0.5423,Thu Mar 08 19:53:17 +0000 2018,0.844,0.156,0.0,36
37,-0.7964,Thu Mar 08 19:42:07 +0000 2018,0.608,0.392,0.0,37
38,0.25,Thu Mar 08 19:37:55 +0000 2018,0.9,0.0,0.1,38
39,0.0,Thu Mar 08 19:31:33 +0000 2018,1.0,0.0,0.0,39
40,-0.296,Thu Mar 08 19:28:27 +0000 2018,0.879,0.121,0.0,40
41,-0.5859,Thu Mar 08 19:20:03 +0000 2018,0.758,0.242,0.0,41
42,0.0,Thu Mar 08 19:10:07 +0000 2018,1.0,0.0,0.0,42
43,0.0,Thu Mar 08 19:00:13 +0000 2018,1.0,0.0,0.0,43
44,-0.3612,Thu Mar 08 18:50:00 +0000 2018,0.894,0.106,0.0,44
45,0.0,Thu Mar 08 18:43:15 +0000 2018,1.0,0.0,0.0,45
46,0.25,Thu Mar 08 18:39:49 +0000 2018,0.9,0.0,0.1,46
47,0.5719,Thu Mar 08 18:32:00 +0000 2018,0.748,0.0,0.252,47
48,-0.296,Thu Mar 08 18:23:00 +0000 2018,0.909,0.091,0.0,48
49,-0.6705,Thu Mar 08 18:10:10 +0000 2018,0.824,0.176,0.0,49
50,0.0,Thu Mar 08 17:47:25 +0000 2018,1.0,0.0,0.0,50
51,0.0,Thu Mar 08 17:46:41 +0000 2018,1.0,0.0,0.0,51
52,0.0,Thu Mar 08 17:45:33 +0000 2018,1.0,0.0,0.0,52
53,0.0,Thu Mar 08 17:44:43 +0000 2018,1.0,0.0,0.0,53
54,0.0,Thu Mar 08 17:43:58 +0000 2018,1.0,0.0,0.0,54
55,0.0,Thu Mar 08 17:43:11 +0000 2018,1.0,0.0,0.0,55
56,0.0,Thu Mar 08 17:42:02 +0000 2018,1.0,0.0,0.0,56
57,0.0,Thu Mar 08 17:40:53 +0000 2018,1.0,0.0,0.0,57
58,0.0,Thu Mar 08 17:39:13 +0000 2018,1.0,0.0,0.0,58
59,0.0,Thu Mar 08 17:38:04 +0000 2018,1.0,0.0,0.0,59
60,0.0,Thu Mar 08 17:36:23 +0000 2018,1.0,0.0,0.0,60
61,0.0,Thu Mar 08 17:35:29 +0000 2018,1.0,0.0,0.0,61
62,0.0,Thu Mar 08 17:34:23 +0000 2018,1.0,0.0,0.0,62
63,0.3182,Thu Mar 08 17:33:30 +0000 2018,0.839,0.0,0.161,63
64,0.0,Thu Mar 08 17:32:06 +0000 2018,1.0,0.0,0.0,64
65,0.3182,Thu Mar 08 17:28:28 +0000 2018,0.798,0.0,0.202,65
66,0.0,Thu Mar 08 17:26:08 +0000 2018,1.0,0.0,0.0,66
67,0.6705,Thu Mar 08 17:24:39 +0000 2018,0.756,0.0,0.244,67
