,Compound,Date,Negative,Neutral,Positive,Tweets Ago
0,0.34,Thu Mar 08 23:20:24 +0000 2018,0.882,0.0,0.118,0
1,-0.3182,Thu Mar 08 23:10:59 +0000 2018,0.596,0.245,0.159,1
2,0.0,Thu Mar 08 23:08:31 +0000 2018,1.0,0.0,0.0,2
3,0.0,Thu Mar 08 23:03:36 +0000 2018,1.0,0.0,0.0,3
4,0.0,Thu Mar 08 23:02:44 +0000 2018,1.0,0.0,0.0,4
5,0.0,Thu Mar 08 22:48:25 +0000 2018,1.0,0.0,0.0,5
6,0.0,Thu Mar 08 22:38:19 +0000 2018,1.0,0.0,0.0,6
7,0.0,Thu Mar 08 22:35:11 +0000 2018,1.0,0.0,0.0,7
8,-0.0516,Thu Mar 08 22:25:00 +0000 2018,0.732,0.138,0.13,8
9,0.0,Thu Mar 08 22:18:33 +0000 2018,1.0,0.0,0.0,9
10,0.6808,Thu Mar 08 22:15:50 +0000 2018,0.616,0.0,0.384,10
11,0.3742,Thu Mar 08 22:07:45 +0000 2018,0.686,0.112,0.202,11
12,0.1027,Thu Mar 08 22:02:00 +0000 2018,0.745,0.117,0.138,12
13,-0.4404,Thu Mar 08 22:00:01 +0000 2018,0.892,0.108,0.0,13
14,-0.3182,Thu Mar 08 21:55:06 +0000 2018,0.892,0.108,0.0,14
15,-0.4767,Thu Mar 08 21:51:45 +0000 2018,0.846,0.154,0.0,15
16,-0.0772,Thu Mar 08 21:48:39 +0000 2018,0.929,0.071,0.0,16
17,0.7579,Thu Mar 08 21:40:00 +0000 2018,0.772,0.0,0.228,17
18,-0.6808,Thu Mar 08 21:35:00 +0000 2018,0.663,0.337,0.0,18
19,-0.7783,Thu Mar 08 21:30:00 +0000 2018,0.702,0.298,0.0,19
20,-0.1027,Thu Mar 08 21:29:29 +0000 2018,0.924,0.076,0.0,20
21,0.0,Thu Mar 08 21:25:00 +0000 2018,1.0,0.0,0.0,21
22,0.0,Thu Mar 08 21:20:00 +0000 2018,1.0,0.0,0.0,22
23,-0.1027,Thu Mar 08 21:17:13 +0000 2018,0.92,0.08,0.0,23
24,0.0,Thu Mar 08 21:17:00 +0000 2018,1.0,0.0,0.0,24
25,-0.2023,Thu Mar 08 21:12:20 +0000 2018,0.284,0.381,0.335,25
26,0.0,Thu Mar 08 21:12:00 +0000 2018,1.0,0.0,0.0,26
27,0.0,Thu Mar 08 21:07:58 +0000 2018,1.0,0.0,0.0,27
